userId,displayName,discordUsername,submittedAt,champion,runnerUp,thirdPlace,fourthPlace,fifthToSixth_1,fifthToSixth_2,seventhToEighth_1,seventhToEighth_2,ninthToTwelfth_1,ninthToTwelfth_2,ninthToTwelfth_3,ninthToTwelfth_4,thirteenthToSixteenth_1,thirteenthToSixteenth_2,thirteenthToSixteenth_3,thirteenthToSixteenth_4,pool_count,pool_list
1mrcPz4VUXXvYdQPxaNu02Eq5hv2,,,2025-08-15T21:08:38.826Z,,,,,,,,,,,,,,,,,0,
1uTIoCrW2vaa0rMy04MR55Pt3GA2,,,2025-08-15T18:09:31.629Z,,,,,,,,,,,,,,,,,0,
3AcfJgh704dudWw1tjHgy03URzh1,,,2025-08-15T16:40:15.858Z,,,,,,,,,,,,,,,,,0,
3E8pFGDDX4beFQKbAbM7MWIpwFG2,,,2025-08-15T11:57:49.852Z,,,,,,,,,,,,,,,,,0,
3gYCMp5COPMglCtEnfOQLC7pMR02,,,2025-08-15T20:47:35.870Z,,,,,,,,,,,,,,,,,0,
48TQEwgZqDOxrBis5H4Ft2h6JmP2,,,2025-08-14T18:11:01.187Z,,,,,,,,,,,,,,,,,0,
4lqPnHjIJSUturGiNH5Nz2CWROe2,,,2025-08-15T17:48:24.286Z,,,,,,,,,,,,,,,,,0,
5ClPwAtByhUPfg1HCJghYqhmOBY2,,,2025-08-15T14:01:31.180Z,,,,,,,,,,,,,,,,,0,
5W0ImllRfzLlVm8sAHlpIjpSsvi2,,,2025-08-15T12:39:17.129Z,,,,,,,,,,,,,,,,,0,
80myI4UK7OUHRRVQGZYaqNDgM0o1,,,2025-08-16T01:25:17.923Z,,,,,,,,,,,,,,,,,0,
AHkAid7rEVQ9saTSpXweoIMXlT52,,,2025-08-17T07:53:41.630Z,,,,,,,,,,,,,,,,,0,
JmT1z4SmSydHuoTPdrjAPBwEo1K3,,,2025-08-17T14:40:47.688Z,,,,,,,,,,,,,,,,,0,
LPFqK6LG9peJHyYlX6iY3IJiym93,,,2025-08-15T07:56:20.229Z,,,,,,,,,,,,,,,,,0,
LohyNnaCCYPrBYT7u7IZsZcutWk2,,,2025-08-14T14:55:21.005Z,,,,,,,,,,,,,,,,,0,
MpmwGNCgxgV104JKuxVyFrW9H442,,,2025-08-14T19:03:46.943Z,,,,,,,,,,,,,,,,,0,
O2NnFom79uTEHPpG5Vo5189Dryk2,,,2025-08-15T00:20:43.000Z,,,,,,,,,,,,,,,,,0,
QiKViRHIprRbeVhXYfNBzvuapMF3,,,2025-08-14T14:52:34.495Z,,,,,,,,,,,,,,,,,0,
QiWqndtZ4RgdkqfXWVzDhR01fkv1,,,2025-08-15T21:06:35.336Z,,,,,,,,,,,,,,,,,0,
SBrDWbzCmXfbb5uVoLBNibPGP2k2,,,2025-08-15T21:05:31.364Z,,,,,,,,,,,,,,,,,0,
TKMaItSUo1akIwkW7WvwoAqAYqm2,,,2025-08-14T21:32:58.322Z,,,,,,,,,,,,,,,,,0,
Tr7Npo8S2UZVinprXx5c9AKIlIa2,,,2025-08-15T19:48:47.391Z,,,,,,,,,,,,,,,,,0,
UL9KjiwerNfrxeYqoZ7anIFZr1e2,,,2025-08-15T20:10:18.579Z,,,,,,,,,,,,,,,,,0,
VUqv1SY8xrakEuZxwGUsN1Z41r32,,,2025-08-14T20:03:50.663Z,,,,,,,,,,,,,,,,,0,
XSnF9QKG2ndTmrGNoetJArDp9r32,,,2025-08-15T18:21:09.109Z,,,,,,,,,,,,,,,,,0,
XxwSTC2zLdWhQ5bskt7ByTK00gi2,,,2025-08-13T21:37:55.978Z,,,,,,,,,,,,,,,,,0,
YFLSAcZiAsMwxuHmAuzgeTcumoE2,,,2025-08-14T16:32:08.319Z,,,,,,,,,,,,,,,,,0,
YoqDTaqgpoYB9NXB3BPHIcq2zGZ2,,,2025-08-15T10:03:47.543Z,,,,,,,,,,,,,,,,,0,
d26RbdMe7BZjo1iooE2HZ5Rxnph1,,,2025-08-15T10:21:56.123Z,,,,,,,,,,,,,,,,,0,
h8btj7iQIvfTVPbSFZ6Y0cFwLRC2,,,2025-08-15T21:09:02.308Z,,,,,,,,,,,,,,,,,0,
ikta9wKQWZX1L8G0ibZyFSAqoBG3,,,2025-08-16T16:36:30.676Z,,,,,,,,,,,,,,,,,0,
kSrcjQpfZ5U02U64m9RsIhgdZSE2,,,2025-08-15T20:33:45.487Z,,,,,,,,,,,,,,,,,0,
m61mxZB8PpXtj8kZd9Bp0pbNasM2,,,2025-08-15T09:27:10.824Z,,,,,,,,,,,,,,,,,0,
pDHbVWVDbyaABCcxUQMIq7C8op53,,,2025-08-15T10:46:43.014Z,,,,,,,,,,,,,,,,,0,
pQq8ZzwA49XMH2JsdDcmVJbkTAn1,,,2025-08-16T08:52:22.255Z,,,,,,,,,,,,,,,,,0,
uCEuncmaYTO0RPh0UcOeTjIAvSm1,,,2025-08-15T12:47:54.061Z,,,,,,,,,,,,,,,,,0,
vqqEyhJ9U7ZMESuFm4RelmByIhm2,,,2025-08-15T17:14:40.882Z,,,,,,,,,,,,,,,,,0,
wyuueJzhcqgfa8A2hXeZRmQ7kPo2,,,2025-08-15T18:47:01.094Z,,,,,,,,,,,,,,,,,0,
yeXJO3djDBgyY8GMr5Xc3C4A9L23,,,2025-08-14T15:15:34.837Z,,,,,,,,,,,,,,,,,0,
zbkJBpHGGYWEg1Hl8rrSCYoY4a73,,,2025-08-15T18:40:02.519Z,,,,,,,,,,,,,,,,,0,
