Player Name,Role,Team Name,Match ID,Game ID,Hero,Duration (min),Radiant Win,Kills,Deaths,Assists,GPM,XPM,Last Hits,Denies,Net Worth,Hero Damage,Tower Damage,Hero Healing,Obs Placed,Sen Placed,First Blood,Fantasy Points
BlinGG,Hard Support,Meld z Zaskoczenia,7VdHDXHUb0uSjOOiaD9r,8429996273,Undying,54.8,false,4,11,22,395,575,140,3,17792,16676,205,7412,20,40,false,195.61
Be Boy,Hard Support,Jest Letko,035zBZ2Imgb9kIdncdiu,8431635715,Hero136,18.2,false,3,0,18,265,379,8,1,4664,8864,764,275,3,6,false,222.38
Be Boy,Hard Support,Jest Letko,035zBZ2Imgb9kIdncdiu,8431689704,Tusk,47.1,true,3,7,25,317,509,32,5,12284,10230,244,0,11,23,false,135.58
Be Boy,Hard Support,Jest Letko,Iu1EMsFvKkOJMrwB8ejz,8431817540,Hero136,38.5,false,4,9,26,335,434,53,1,10562,11401,2824,766,9,19,false,162.27
Be Boy,Hard Support,Jest Letko,Iu1EMsFvKkOJMrwB8ejz,8431886203,Omniknight,42.2,true,2,3,17,384,538,105,0,14150,7979,431,5657,12,25,false,189.11
Abedzik,Hard Support,CINCO PERROS,KWrwrjEWK7yL7r6GOipp,8422934138,Abaddon,39.3,true,3,3,18,343,548,50,7,12525,6941,2827,17760,6,10,false,296.53
Abedzik,Hard Support,CINCO PERROS,o2H30RJvnYByDcM2dINB,8427048629,Lion,46.7,false,11,7,33,473,837,47,2,17830,19393,441,0,0,0,false,74.20
Abedzik,Hard Support,CINCO PERROS,zagQRJf7HdWq3ma7rp09,8425659528,Abaddon,32.9,true,2,5,21,339,429,32,10,11327,6592,865,7745,0,0,false,186.57
Abedzik,Hard Support,CINCO PERROS,zagQRJf7HdWq3ma7rp09,8425728381,Undying,55.4,false,8,10,42,463,831,157,3,22523,16452,2345,7887,0,0,false,122.29
SenSimil,Hard Support,Kępski Kryształ,QYBH3H6V9svJ6ZBTiujb,8428433681,Jakiro,27.9,false,1,9,5,218,232,24,2,4505,12259,207,0,7,10,1,77.77
SenSimil,Hard Support,Kępski Kryształ,QYBH3H6V9svJ6ZBTiujb,8428504518,Tusk,48.2,true,9,11,32,340,460,44,1,11186,21327,1360,0,9,20,false,109.86
SenSimil,Hard Support,Kępski Kryształ,qI7VXf0guiGVmK4TYnNb,8429515972,Vengeful Spirit,39.3,false,3,7,29,328,582,20,4,10855,12569,1653,195,9,17,false,138.17
SenSimil,Hard Support,Kępski Kryształ,qI7VXf0guiGVmK4TYnNb,8429622448,Dazzle,22.9,true,2,1,16,301,477,22,5,5857,6675,708,8827,5,10,false,328.57
TOFI,Hard Support,Tomek i Przyjaciele,0Q1zNJl50nhaAU2aN3cJ,8421512161,Dazzle,32.8,true,1,7,21,266,423,37,6,7260,6838,162,7957,5,16,false,239.96
TOFI,Hard Support,Tomek i Przyjaciele,0Q1zNJl50nhaAU2aN3cJ,8421585719,Silencer,38.7,true,3,7,16,247,346,35,2,6700,14871,0,0,0,0,false,52.69
TOFI,Hard Support,Tomek i Przyjaciele,GjEqnxXjgov0xsBCJUi4,8424355820,Pugna,56.6,true,10,10,23,425,608,145,4,16845,27695,4968,4353,15,29,1,157.92
TOFI,Hard Support,Tomek i Przyjaciele,GjEqnxXjgov0xsBCJUi4,8424434859,Undying,42.1,true,7,6,26,400,587,76,4,16958,12641,1562,8524,6,12,false,192.31
TOFI,Hard Support,Tomek i Przyjaciele,e5rACO40T7qW0F1dWAdh,8425580766,Ancient Apparition,42.0,false,3,11,26,348,417,45,1,13413,16282,651,0,9,17,false,133.08
TOFI,Hard Support,Tomek i Przyjaciele,e5rACO40T7qW0F1dWAdh,8425669736,Weaver,42.9,true,9,9,29,374,713,55,8,15067,20512,2806,1691,6,14,1,137.95
Yoie,Hard Support,Doink and Destroy,bJ0rMbzMkwqlqGIpNtFU,8431737496,Mars,33.6,true,6,6,19,310,399,33,1,9847,13749,1435,0,0,0,false,92.53
Yoie,Hard Support,Doink and Destroy,bJ0rMbzMkwqlqGIpNtFU,8431808477,Warlock,27.8,false,8,4,30,417,575,64,2,10460,15753,4303,10665,0,0,false,281.47
Yoie,Hard Support,Doink and Destroy,rVnxdKKTINcYVXbkO4mx,8425761247,Silencer,48.7,true,2,10,34,382,536,100,1,14422,18352,1265,0,14,29,false,134.35
Yoie,Hard Support,Doink and Destroy,rVnxdKKTINcYVXbkO4mx,8425833128,Ogre Magi,33.5,true,2,10,7,300,377,59,0,7295,10188,214,125,11,21,false,99.57
Pupa,Hard Support,Ja w sprawie pumy,7VdHDXHUb0uSjOOiaD9r,8429996273,Ancient Apparition,54.8,false,3,7,23,362,493,82,0,18653,15723,426,125,9,21,false,103.33
Pupa,Hard Support,Ja w sprawie pumy,QKhtzVVV8VdBFDdkMOH9,8427007639,Ancient Apparition,29.0,false,0,6,17,272,328,22,0,7217,6127,307,0,0,0,false,88.24
Pupa,Hard Support,Ja w sprawie pumy,QKhtzVVV8VdBFDdkMOH9,8427065180,Ancient Apparition,51.7,true,1,8,17,269,410,26,1,12718,10332,280,0,0,0,false,55.96
Pupa,Hard Support,Ja w sprawie pumy,qBB79nAFp7mJrTLXe0LO,8425462431,Undying,34.8,true,6,3,26,351,429,24,2,12687,8752,1002,9677,7,9,false,244.80
Pupa,Hard Support,Ja w sprawie pumy,qBB79nAFp7mJrTLXe0LO,8425542396,Undying,31.9,false,4,8,20,328,399,18,1,8989,9055,219,6871,4,13,false,233.73
BUblinek,Hard Support,Bubliny Team,WUmUm5A7K1M3hEBGW9Id,8431743470,Vengeful Spirit,59.6,false,4,7,28,353,769,95,5,15849,15477,737,12459,0,0,false,136.28
BUblinek,Hard Support,Bubliny Team,fxOJREbrQkftjXT3i4My,8425738638,Clockwerk,34.1,false,7,3,22,333,475,27,3,9857,18374,316,0,8,17,false,157.30
BUblinek,Hard Support,Bubliny Team,fxOJREbrQkftjXT3i4My,8425795013,Shadow Shaman,25.5,true,2,6,11,249,335,34,4,5085,9975,832,0,6,8,1,100.69
5ty,Hard Support,Obrona Częstochowy,5vs3LDQT5Eg4AJULmx8x,8422959064,Abaddon,64.4,false,3,7,31,386,682,98,5,22941,12116,668,9347,18,38,false,198.28
5ty,Hard Support,Obrona Częstochowy,5vs3LDQT5Eg4AJULmx8x,8423054658,Void Spirit,46.9,true,9,13,33,444,752,104,3,15614,21360,843,125,0,0,false,72.31
5ty,Hard Support,Obrona Częstochowy,qBB79nAFp7mJrTLXe0LO,8425462431,Lion,34.8,true,5,10,12,308,345,32,3,7943,11967,0,0,9,16,false,103.22
5ty,Hard Support,Obrona Częstochowy,qBB79nAFp7mJrTLXe0LO,8425542396,Void Spirit,31.9,false,6,5,15,332,477,33,5,8201,17807,180,0,6,14,false,137.62
Freenki,Hard Support,divine 640x480,Lv845NrM8afwFJdojNzo,8431472168,Dazzle,41.6,false,0,12,18,238,331,31,5,8061,7421,0,21206,0,0,false,254.60
Freenki,Hard Support,divine 640x480,Lv845NrM8afwFJdojNzo,8431562935,Ogre Magi,53.1,false,3,13,42,333,662,31,1,14489,18410,1455,0,0,0,false,60.17
Freenki,Hard Support,divine 640x480,fxOJREbrQkftjXT3i4My,8425738638,Undying,34.1,false,1,7,6,188,266,26,1,5850,5182,0,356,7,1,false,41.03
Freenki,Hard Support,divine 640x480,fxOJREbrQkftjXT3i4My,8425795013,Tusk,25.5,true,2,4,16,243,387,4,0,5646,6304,121,0,7,2,false,129.67
Freenki,Hard Support,divine 640x480,g8PuQI3pdTqTaVGQt09X,8425582145,Undying,33.2,true,6,6,22,332,571,40,0,10057,9706,1283,2608,10,3,false,161.08
Freenki,Hard Support,divine 640x480,g8PuQI3pdTqTaVGQt09X,8425651280,Tusk,32.5,true,2,7,20,241,299,4,1,6971,6880,485,0,0,0,false,89.45
Szwedka,Hard Support,Chief Industries,rVnxdKKTINcYVXbkO4mx,8425761247,Jakiro,48.7,true,2,14,16,263,446,42,0,10361,7219,627,0,15,27,false,105.05
Szwedka,Hard Support,Chief Industries,rVnxdKKTINcYVXbkO4mx,8425833128,Lich,33.5,true,4,2,11,316,406,37,0,10652,8255,291,195,11,21,1,138.42
AaDeHaDe,Soft Support,Jest Letko,035zBZ2Imgb9kIdncdiu,8431635715,Weaver,18.2,false,3,1,12,265,329,17,0,4310,9978,712,0,4,9,false,175.76
AaDeHaDe,Soft Support,Jest Letko,035zBZ2Imgb9kIdncdiu,8431689704,Hero131,47.1,true,1,8,24,299,518,50,1,12105,16884,129,125,9,18,false,90.39
AaDeHaDe,Soft Support,Jest Letko,Iu1EMsFvKkOJMrwB8ejz,8431817540,Rubick,38.5,false,9,6,26,478,598,96,1,16971,22122,228,250,7,11,false,106.11
AaDeHaDe,Soft Support,Jest Letko,Iu1EMsFvKkOJMrwB8ejz,8431886203,Witch Doctor,42.2,true,9,9,12,344,437,49,0,13471,26383,301,1495,7,10,false,77.52
Quince,Hard Support,Luter Disciples,Iu1EMsFvKkOJMrwB8ejz,8431817540,Undying,38.5,false,4,14,19,280,372,36,1,9023,10841,0,385,12,14,false,117.45
Quince,Hard Support,Luter Disciples,Iu1EMsFvKkOJMrwB8ejz,8431886203,Clockwerk,42.2,true,2,8,13,218,340,22,1,9346,8977,137,0,15,19,false,102.26
qb4s,Hard Support,Klałn Fiesta,GjEqnxXjgov0xsBCJUi4,8424355820,Ancient Apparition,56.6,true,4,10,20,290,392,69,3,11169,14873,0,125,12,30,false,108.04
qb4s,Hard Support,Klałn Fiesta,GjEqnxXjgov0xsBCJUi4,8424434859,Silencer,42.1,true,2,6,9,252,332,24,3,7308,15359,128,525,15,27,false,109.96
Bacześ,Hard Support,Psychiatryk,0Q1zNJl50nhaAU2aN3cJ,8421512161,Ogre Magi,32.8,true,2,6,9,251,343,27,3,8054,11263,143,125,6,15,false,82.07
Bacześ,Hard Support,Psychiatryk,0Q1zNJl50nhaAU2aN3cJ,8421585719,Ogre Magi,38.7,true,1,8,20,324,442,36,5,12250,10541,914,0,0,0,false,82.28
Bacześ,Hard Support,Psychiatryk,FTvntoZjHD52ms6pccPb,8421352850,Crystal Maiden,39.8,true,3,12,15,302,352,25,1,9294,14214,67,0,0,0,false,49.78
Bacześ,Hard Support,Psychiatryk,FTvntoZjHD52ms6pccPb,8421438029,Ogre Magi,29.7,true,4,6,30,446,481,33,3,11776,13716,2674,0,8,18,false,178.50
Nolcio,Hard Support,drPingwin,O2LdqqxZsyHobulI9Esd,8421550291,Shadow Shaman,39.2,false,2,6,17,296,450,42,1,8500,8984,4013,125,14,13,false,111.05
Nolcio,Hard Support,drPingwin,O2LdqqxZsyHobulI9Esd,8421628982,Jakiro,40.9,true,9,5,17,419,612,126,0,14688,22782,0,125,9,14,1,105.64
Nolcio,Hard Support,drPingwin,qI7VXf0guiGVmK4TYnNb,8429515972,Warlock,39.3,false,2,8,14,308,362,78,2,10093,25042,43,4569,11,8,false,132.83
