Player Name,Role,Team Name,Team Tag,Total Games,Total Fantasy Points,Points Per Game,Steam ID32,OpenDota ID
BlinGG,Hard Support,Meld z Zaskoczenia,MELD,1,195.61,195.61,52099406,
Be Boy,Hard Support,Jest Letko,JL,4,709.34,177.34,1126721277,
Abedzik,Hard Support,CINCO PERROS,psy,4,679.59,169.90,325826555,
SenSimil,Hard Support,Kępski Kryształ,KK,4,654.37,163.59,203806523,
TOFI,Hard Support,Tomek i Przyjaciele,4FUN,6,913.91,152.32,399859501,
Yoie,Hard Support,Doink and Destroy,DONK,4,607.92,151.98,242970321,
Pupa,Hard Support,Ja w sprawie pumy,PUMY,5,726.06,145.21,111886752,
BUblinek,Hard Support,Bubliny Team,BUB,3,394.27,131.42,120000842,
5ty,Hard Support,Obrona Częstochowy,OC,4,511.43,127.86,116487456,
Freenki,Hard Support,divine 640x480,TOS,6,736.00,122.67,414176088,
Szwedka,Hard Support,Chief Industries,2136,2,243.47,121.73,1032441183,
AaDeHaDe,Soft Support,Jest Letko,JL,4,449.78,112.44,35401467,
Quince,Hard Support,Luter Disciples,LTR,2,219.71,109.86,98646687,
qb4s,Hard Support,Klałn Fiesta,KF,2,218.00,109.00,150741905,
Bacześ,Hard Support,Psychiatryk,PSY,4,392.63,98.16,105859177,
Nolcio,Hard Support,drPingwin,drP,4,390.80,97.70,225867902,
Skuczi,Soft Support,Kępski Kryształ,KK,4,380.45,95.11,57594902,
makuksik,Hard Support,Na Pałę Gaming,NPG,5,474.21,94.84,193689977,
Walrei,Soft Support,Tomek i Przyjaciele,4FUN,6,533.07,88.85,64003821,
S1NIAWA,Hard Support,Tango Buraczane,TAB,4,350.00,87.50,910262203,
Bubi,Hard Support,Pora na Przygode,PnP,1,85.42,85.42,188042910,
Wauek,Soft Support,Ja w sprawie pumy,PUMY,5,406.22,81.24,131373187,
White Dance ,Carry,Meld z Zaskoczenia,MELD,7,567.43,81.06,146352566,
Fey,Carry,divine 640x480,TOS,6,472.86,78.81,178032556,
-Obstacle,Carry,Jest Letko,JL,4,306.08,76.52,136005006,
Rzezio,Offlane,Doink and Destroy,DONK,4,305.60,76.40,85759020,
Marchewa,Mid,Ja w sprawie pumy,PUMY,5,378.07,75.61,485012938,
narcotics,Carry,Tomek i Przyjaciele,4FUN,6,453.48,75.58,1623932278,
Naavle,Offlane,Ja w sprawie pumy,PUMY,5,377.27,75.45,86809678,
I have sex with dragons,Mid,Doink and Destroy,DONK,4,301.58,75.39,200750168,
Gandalf1k,Mid,Psychiatryk,PSY,4,298.06,74.52,179486842,
Andrzej,Offlane,Na Pałę Gaming,NPG,5,372.10,74.42,179758327,
Pocieszny,Offlane,Jest Letko,JL,4,296.14,74.03,101117643,
LEON ZAWODOWIEC,Hard Support,Frankfurt Beast Awakened,FBA,2,146.82,73.41,41872979,
SZYMI,Offlane,CINCO PERROS,psy,4,293.58,73.39,68945677,
WarolKojtyła,Offlane,Kępski Kryształ,KK,4,292.04,73.01,173588737,
Nelhael,Soft Support,Chief Industries,2136,2,145.18,72.59,84908805,
Joxxi,Mid,CINCO PERROS,psy,4,286.99,71.75,114011482,
Somebody,Hard Support,Sparta Sklejka Orzechowo,SPO,4,285.03,71.26,439598891,
Lil_TILT,Soft Support,Doink and Destroy,DONK,4,283.94,70.98,136708636,
RICKY,Soft Support,CINCO PERROS,psy,4,280.36,70.09,14947875,
Steven Senegal,Soft Support,Tango Buraczane,TAB,4,271.43,67.86,110005970,
OnlyMatt,Carry,Skorupiaki ,SKR,1,66.91,66.91,400065867,
dave,Mid,divine 640x480,TOS,6,395.05,65.84,69892285,
Ciptok,Carry,Na Pałę Gaming,NPG,5,324.39,64.88,29434928,
Niepokonany Kruszon,Soft Support,Obrona Częstochowy,OC,4,259.48,64.87,1443022254,
Yosa,Offlane,Meld z Zaskoczenia,MELD,6,384.19,64.03,156760164,
Dziadek,Soft Support,Meld z Zaskoczenia,MELD,7,433.16,61.88,86045733,
Trzmielsko at the rock bottom,Offlane,Chief Industries,2136,2,120.10,60.05,119836021,
Vogel,Offlane,Skorupiaki ,SKR,1,60.00,60.00,90151278,
HeLLYeAH,Offlane,Tomek i Przyjaciele,4FUN,6,358.32,59.72,771182215,
Juxi1337,Carry,CINCO PERROS,psy,4,238.67,59.67,372574802,
Haos_Maker,Hard Support,Skorupiaki ,SKR,1,59.63,59.63,135842974,
Chomik,Soft Support,Frankfurt Beast Awakened,FBA,2,118.68,59.34,49963920,
LAKOS,Offlane,Frankfurt Beast Awakened,FBA,2,118.07,59.04,31508810,
Bocian,Mid,Jest Letko,JL,4,235.87,58.97,414431383,
Agressiv,Carry,Doink and Destroy,DONK,4,233.05,58.26,39930119,
SBK,Carry,gwiazda,STAR,1,57.31,57.31,40514584,
Whalesdontflop,Soft Support,divine 640x480,TOS,6,343.28,57.21,104346975,
DuelMaister,Mid,Chief Industries,2136,2,112.04,56.02,102806766,
Benito,Mid,Frankfurt Beast Awakened,FBA,2,110.62,55.31,113415285,
OgnistyPszemek,Carry,Kępski Kryształ,KK,4,217.59,54.40,126912843,
Draken,Carry,Chief Industries,2136,2,105.91,52.95,302449792,
DelgadO,Carry,Frankfurt Beast Awakened,FBA,2,105.73,52.86,1650256861,
Warkow,Carry,Obrona Częstochowy,OC,4,209.86,52.46,121883980,
PMORE,Soft Support,Klałn Fiesta,KF,2,104.82,52.41,34194086,
markoo_tgcru,Soft Support,Bubliny Team,BUB,3,156.14,52.05,166418796,
kage,Offlane,Obrona Częstochowy,OC,4,207.47,51.87,63853589,
janek,Soft Support,Na Pałę Gaming,NPG,5,256.19,51.24,892751881,
Admiral R-d,Soft Support,Pora na Przygode,PnP,1,50.95,50.95,32709868,
Narrator,Soft Support,Psychiatryk,PSY,4,200.20,50.05,36080514,
papież,Mid,Tango Buraczane,TAB,4,197.06,49.27,52073707,
Smoku,Mid,Tomek i Przyjaciele,4FUN,6,285.35,47.56,104240358,
RKX,Offlane,divine 640x480,TOS,6,283.33,47.22,390497553,
Dalkanan,Mid,Bubliny Team,BUB,3,140.64,46.88,110198759,
Psycho,Carry,Psychiatryk,PSY,4,186.82,46.70,67443006,
Cienszki,Carry,Ja w sprawie pumy,PUMY,5,231.62,46.32,35747920,
zys (gwiazda),Mid,gwiazda,STAR,1,44.59,44.59,107263502,
Pinacik,Offlane,Bubliny Team,BUB,3,132.48,44.16,313225844,
plugwallker,Offlane,gwiazda,STAR,1,43.53,43.53,1032934609,
HatchedEnd,Mid,Skorupiaki ,SKR,1,43.51,43.51,65628086,
grey magic,Offlane,Psychiatryk,PSY,4,172.64,43.16,1108570832,
Rhanesh,Mid,Obrona Częstochowy,OC,4,168.55,42.14,123965850,
Tarzy,Soft Support,Greatest Dota Team,GDT,4,162.17,40.54,31015379,
rutyna,Soft Support,drPingwin,drP,6,239.87,39.98,88793901,
AxePerSon,Soft Support,Skorupiaki ,SKR,1,38.81,38.81,103121460,
Tax Fraud Chief Officer,Soft Support,Luter Disciples,LTR,6,231.41,38.57,208197340,
