Player Name,Role,Team Name,Team Tag,Steam ID32,OpenDota ID,Total Games,Total Fantasy Points,Points Per Game,Match ID,Game ID,Hero Name,Game Duration Minutes,Radiant Win,Player Won,Kills,Deaths,Assists,KDA Ratio,GPM,XPM,Last Hits,Denies,Net Worth,Hero Damage,Tower Damage,Hero Healing,Observer Wards Placed,Sentry Wards Placed,First Blood Claimed,Courier Kills,Observer Ward Kills,Sentry Ward Kills,Total Fantasy Points Game,Fantasy Points Per Minute,Kill Points,Death Points,Assist Points,Assists Capped,Assists Uncapped Points,Observer Ward Points,Sentry Ward Points,Healing Points,Tower Damage Points,Tower Damage Capped,First Blood Points,Est Basic KDA Points,Est Support Points,Est Universal Points,Est Total Points
Be Boy,Hard Support,Jest Letko,JL,1126721277,,4,615.82,153.96,035zBZ2Imgb9kIdncdiu,8431635715,Hero136,18.2,false,false,3,0,18,21.00,265,379,8,1,4664,8864,764,275,3,6,false,1,0,162.80,222.38,12.22,3.00,0.00,54.00,false,54.00,6.00,10.80,2.75,0.76,false,0.00,57.00,19.55,0.76,77.31
Be Boy,Hard Support,Jest Letko,JL,1126721277,,4,615.82,153.96,035zBZ2Imgb9kIdncdiu,8431689704,Tusk,47.1,true,true,3,7,25,4.00,317,509,32,5,12284,10230,244,0,11,23,false,1,5,121.06,135.58,2.88,3.00,-7.00,60.00,true,75.00,22.00,41.40,0.00,0.24,false,0.00,56.00,63.40,0.24,119.64
Be Boy,Hard Support,Jest Letko,JL,1126721277,,4,615.82,153.96,Iu1EMsFvKkOJMrwB8ejz,8431817540,Hero136,38.5,false,false,4,9,26,3.33,335,434,53,1,10562,11401,2824,766,9,19,false,0,6,139.22,162.27,4.21,4.00,-9.00,60.00,true,78.00,18.00,34.20,7.66,2.82,false,0.00,55.00,59.86,2.82,117.68
Be Boy,Hard Support,Jest Letko,JL,1126721277,,4,615.82,153.96,Iu1EMsFvKkOJMrwB8ejz,8431886203,Omniknight,42.2,true,true,2,3,17,6.33,384,538,105,0,14150,7979,431,5657,12,25,false,0,4,192.74,189.11,4.48,2.00,-3.00,51.00,false,51.00,24.00,45.00,56.57,0.43,false,0.00,50.00,125.57,0.43,176.00
Abedzik,Hard Support,CINCO PERROS,psy,325826555,,5,797.68,159.54,KWrwrjEWK7yL7r6GOipp,8422934138,Abaddon,39.3,true,true,3,3,18,7.00,343,548,50,7,12525,6941,2827,17760,6,10,false,1,2,327.97,296.53,7.55,3.00,-3.00,54.00,false,54.00,12.00,18.00,177.60,2.83,false,0.00,54.00,207.60,2.83,264.43
Abedzik,Hard Support,CINCO PERROS,psy,325826555,,5,797.68,159.54,o2H30RJvnYByDcM2dINB,8427048629,Lion,46.7,false,false,11,7,33,6.29,473,837,47,2,17830,19393,441,0,12,20,false,0,4,110.33,132.46,2.84,11.00,-7.00,60.00,true,99.00,24.00,36.00,0.00,0.44,false,0.00,64.00,60.00,0.44,124.44
Abedzik,Hard Support,CINCO PERROS,psy,325826555,,5,797.68,159.54,o2H30RJvnYByDcM2dINB,8427125277,Hero0,37.9,true,true,4,7,26,4.29,361,631,47,4,11272,0,0,0,2,13,false,0,0,85.70,99.40,2.62,4.00,-7.00,60.00,true,78.00,4.00,23.40,0.00,0.00,false,0.00,57.00,27.40,0.00,84.40
Abedzik,Hard Support,CINCO PERROS,psy,325826555,,5,797.68,159.54,zagQRJf7HdWq3ma7rp09,8425659528,Abaddon,32.9,true,true,2,5,21,4.60,339,429,32,10,11327,6592,865,7745,0,0,false,0,0,167.88,186.57,5.67,2.00,-5.00,60.00,true,63.00,0.00,0.00,77.45,0.86,false,0.00,57.00,77.45,0.86,135.31
Abedzik,Hard Support,CINCO PERROS,psy,325826555,,5,797.68,159.54,zagQRJf7HdWq3ma7rp09,8425728381,Undying,55.4,false,false,8,10,42,5.00,463,831,157,3,22523,16452,2345,7887,0,0,false,0,0,105.80,122.29,2.21,8.00,-10.00,60.00,true,126.00,0.00,0.00,78.87,2.35,false,0.00,58.00,78.87,2.35,139.22
SenSimil,Hard Support,Kępski Kryształ,KK,203806523,,4,661.26,165.31,QYBH3H6V9svJ6ZBTiujb,8428433681,Jakiro,27.9,false,false,1,9,5,0.67,218,232,24,2,4505,12259,207,0,7,10,1,1,2,88.51,77.77,2.79,1.00,-9.00,15.00,false,15.00,14.00,18.00,0.00,0.21,false,10.00,7.00,32.00,10.21,49.21
