Player Name,Role,Team Name,Match ID,Game ID,Hero,Scoring Metric,Value,Multiplier,Points,Description,Capped
BlinGG,Hard Support,Meld z Zaskoczenia,7VdHDXHUb0uSjOOiaD9r,8429996273,Undying,Kills,4,1,4.00,Kill points for Hard Support role,false
BlinGG,Hard Support,Meld z Zaskoczenia,7VdHDXHUb0uSjOOiaD9r,8429996273,Undying,Deaths,11,-1,-11.00,Death penalty for Hard Support role,false
BlinGG,Hard Support,Meld z Zaskoczenia,7VdHDXHUb0uSjOOiaD9r,8429996273,Undying,Assists,22,3,60.00,Assist bonus for Hard Support role (capped),true
BlinGG,Hard Support,Meld z Zaskoczenia,7VdHDXHUb0uSjOOiaD9r,8429996273,Undying,Observer Wards,20,2,40.00,Observer ward placement bonus,false
BlinGG,Hard Support,Meld z Zaskoczenia,7VdHDXHUb0uSjOOiaD9r,8429996273,Undying,Sentry Wards,40,1.8,72.00,Sentry ward placement bonus,false
BlinGG,Hard Support,Meld z Zaskoczenia,7VdHDXHUb0uSjOOiaD9r,8429996273,Undying,Hero Healing,7412,0.01,74.12,Hero healing bonus (1 pt per 100 healing),false
BlinGG,Hard Support,Meld z Zaskoczenia,7VdHDXHUb0uSjOOiaD9r,8429996273,Undying,Tower Damage,205,,0.20,"Tower damage contribution (1 pt per 1000 damage, max 15 pts)",false
Be Boy,Hard Support,Jest Letko,035zBZ2Imgb9kIdncdiu,8431635715,Hero136,Kills,3,1,3.00,Kill points for Hard Support role,false
Be Boy,Hard Support,Jest Letko,035zBZ2Imgb9kIdncdiu,8431635715,Hero136,Assists,18,3,54.00,Assist bonus for Hard Support role,false
Be Boy,Hard Support,Jest Letko,035zBZ2Imgb9kIdncdiu,8431635715,Hero136,Observer Wards,3,2,6.00,Observer ward placement bonus,false
Be Boy,Hard Support,Jest Letko,035zBZ2Imgb9kIdncdiu,8431635715,Hero136,Sentry Wards,6,1.8,10.80,Sentry ward placement bonus,false
Be Boy,Hard Support,Jest Letko,035zBZ2Imgb9kIdncdiu,8431635715,Hero136,Hero Healing,275,0.01,2.75,Hero healing bonus (1 pt per 100 healing),false
Be Boy,Hard Support,Jest Letko,035zBZ2Imgb9kIdncdiu,8431635715,Hero136,Tower Damage,764,,0.76,"Tower damage contribution (1 pt per 1000 damage, max 15 pts)",false
Be Boy,Hard Support,Jest Letko,035zBZ2Imgb9kIdncdiu,8431689704,Tusk,Kills,3,1,3.00,Kill points for Hard Support role,false
Be Boy,Hard Support,Jest Letko,035zBZ2Imgb9kIdncdiu,8431689704,Tusk,Deaths,7,-1,-7.00,Death penalty for Hard Support role,false
Be Boy,Hard Support,Jest Letko,035zBZ2Imgb9kIdncdiu,8431689704,Tusk,Assists,25,3,60.00,Assist bonus for Hard Support role (capped),true
Be Boy,Hard Support,Jest Letko,035zBZ2Imgb9kIdncdiu,8431689704,Tusk,Observer Wards,11,2,22.00,Observer ward placement bonus,false
Be Boy,Hard Support,Jest Letko,035zBZ2Imgb9kIdncdiu,8431689704,Tusk,Sentry Wards,23,1.8,41.40,Sentry ward placement bonus,false
Be Boy,Hard Support,Jest Letko,035zBZ2Imgb9kIdncdiu,8431689704,Tusk,Tower Damage,244,,0.24,"Tower damage contribution (1 pt per 1000 damage, max 15 pts)",false
Be Boy,Hard Support,Jest Letko,Iu1EMsFvKkOJMrwB8ejz,8431817540,Hero136,Kills,4,1,4.00,Kill points for Hard Support role,false
Be Boy,Hard Support,Jest Letko,Iu1EMsFvKkOJMrwB8ejz,8431817540,Hero136,Deaths,9,-1,-9.00,Death penalty for Hard Support role,false
Be Boy,Hard Support,Jest Letko,Iu1EMsFvKkOJMrwB8ejz,8431817540,Hero136,Assists,26,3,60.00,Assist bonus for Hard Support role (capped),true
Be Boy,Hard Support,Jest Letko,Iu1EMsFvKkOJMrwB8ejz,8431817540,Hero136,Observer Wards,9,2,18.00,Observer ward placement bonus,false
Be Boy,Hard Support,Jest Letko,Iu1EMsFvKkOJMrwB8ejz,8431817540,Hero136,Sentry Wards,19,1.8,34.20,Sentry ward placement bonus,false
Be Boy,Hard Support,Jest Letko,Iu1EMsFvKkOJMrwB8ejz,8431817540,Hero136,Hero Healing,766,0.01,7.66,Hero healing bonus (1 pt per 100 healing),false
Be Boy,Hard Support,Jest Letko,Iu1EMsFvKkOJMrwB8ejz,8431817540,Hero136,Tower Damage,2824,,2.82,"Tower damage contribution (1 pt per 1000 damage, max 15 pts)",false
Be Boy,Hard Support,Jest Letko,Iu1EMsFvKkOJMrwB8ejz,8431886203,Omniknight,Kills,2,1,2.00,Kill points for Hard Support role,false
Be Boy,Hard Support,Jest Letko,Iu1EMsFvKkOJMrwB8ejz,8431886203,Omniknight,Deaths,3,-1,-3.00,Death penalty for Hard Support role,false
Be Boy,Hard Support,Jest Letko,Iu1EMsFvKkOJMrwB8ejz,8431886203,Omniknight,Assists,17,3,51.00,Assist bonus for Hard Support role,false
Be Boy,Hard Support,Jest Letko,Iu1EMsFvKkOJMrwB8ejz,8431886203,Omniknight,Observer Wards,12,2,24.00,Observer ward placement bonus,false
Be Boy,Hard Support,Jest Letko,Iu1EMsFvKkOJMrwB8ejz,8431886203,Omniknight,Sentry Wards,25,1.8,45.00,Sentry ward placement bonus,false
Be Boy,Hard Support,Jest Letko,Iu1EMsFvKkOJMrwB8ejz,8431886203,Omniknight,Hero Healing,5657,0.01,56.57,Hero healing bonus (1 pt per 100 healing),false
Be Boy,Hard Support,Jest Letko,Iu1EMsFvKkOJMrwB8ejz,8431886203,Omniknight,Tower Damage,431,,0.43,"Tower damage contribution (1 pt per 1000 damage, max 15 pts)",false
Abedzik,Hard Support,CINCO PERROS,KWrwrjEWK7yL7r6GOipp,8422934138,Abaddon,Kills,3,1,3.00,Kill points for Hard Support role,false
Abedzik,Hard Support,CINCO PERROS,KWrwrjEWK7yL7r6GOipp,8422934138,Abaddon,Deaths,3,-1,-3.00,Death penalty for Hard Support role,false
Abedzik,Hard Support,CINCO PERROS,KWrwrjEWK7yL7r6GOipp,8422934138,Abaddon,Assists,18,3,54.00,Assist bonus for Hard Support role,false
Abedzik,Hard Support,CINCO PERROS,KWrwrjEWK7yL7r6GOipp,8422934138,Abaddon,Observer Wards,6,2,12.00,Observer ward placement bonus,false
Abedzik,Hard Support,CINCO PERROS,KWrwrjEWK7yL7r6GOipp,8422934138,Abaddon,Sentry Wards,10,1.8,18.00,Sentry ward placement bonus,false
Abedzik,Hard Support,CINCO PERROS,KWrwrjEWK7yL7r6GOipp,8422934138,Abaddon,Hero Healing,17760,0.01,177.60,Hero healing bonus (1 pt per 100 healing),false
Abedzik,Hard Support,CINCO PERROS,KWrwrjEWK7yL7r6GOipp,8422934138,Abaddon,Tower Damage,2827,,2.83,"Tower damage contribution (1 pt per 1000 damage, max 15 pts)",false
Abedzik,Hard Support,CINCO PERROS,o2H30RJvnYByDcM2dINB,8427048629,Lion,Kills,11,1,11.00,Kill points for Hard Support role,false
Abedzik,Hard Support,CINCO PERROS,o2H30RJvnYByDcM2dINB,8427048629,Lion,Deaths,7,-1,-7.00,Death penalty for Hard Support role,false
Abedzik,Hard Support,CINCO PERROS,o2H30RJvnYByDcM2dINB,8427048629,Lion,Assists,33,3,60.00,Assist bonus for Hard Support role (capped),true
Abedzik,Hard Support,CINCO PERROS,o2H30RJvnYByDcM2dINB,8427048629,Lion,Tower Damage,441,,0.44,"Tower damage contribution (1 pt per 1000 damage, max 15 pts)",false
Abedzik,Hard Support,CINCO PERROS,zagQRJf7HdWq3ma7rp09,8425659528,Abaddon,Kills,2,1,2.00,Kill points for Hard Support role,false
Abedzik,Hard Support,CINCO PERROS,zagQRJf7HdWq3ma7rp09,8425659528,Abaddon,Deaths,5,-1,-5.00,Death penalty for Hard Support role,false
Abedzik,Hard Support,CINCO PERROS,zagQRJf7HdWq3ma7rp09,8425659528,Abaddon,Assists,21,3,60.00,Assist bonus for Hard Support role (capped),true
Abedzik,Hard Support,CINCO PERROS,zagQRJf7HdWq3ma7rp09,8425659528,Abaddon,Hero Healing,7745,0.01,77.45,Hero healing bonus (1 pt per 100 healing),false
Abedzik,Hard Support,CINCO PERROS,zagQRJf7HdWq3ma7rp09,8425659528,Abaddon,Tower Damage,865,,0.86,"Tower damage contribution (1 pt per 1000 damage, max 15 pts)",false
Abedzik,Hard Support,CINCO PERROS,zagQRJf7HdWq3ma7rp09,8425728381,Undying,Kills,8,1,8.00,Kill points for Hard Support role,false
Abedzik,Hard Support,CINCO PERROS,zagQRJf7HdWq3ma7rp09,8425728381,Undying,Deaths,10,-1,-10.00,Death penalty for Hard Support role,false
Abedzik,Hard Support,CINCO PERROS,zagQRJf7HdWq3ma7rp09,8425728381,Undying,Assists,42,3,60.00,Assist bonus for Hard Support role (capped),true
Abedzik,Hard Support,CINCO PERROS,zagQRJf7HdWq3ma7rp09,8425728381,Undying,Hero Healing,7887,0.01,78.87,Hero healing bonus (1 pt per 100 healing),false
Abedzik,Hard Support,CINCO PERROS,zagQRJf7HdWq3ma7rp09,8425728381,Undying,Tower Damage,2345,,2.35,"Tower damage contribution (1 pt per 1000 damage, max 15 pts)",false
SenSimil,Hard Support,Kępski Kryształ,QYBH3H6V9svJ6ZBTiujb,8428433681,Jakiro,Kills,1,1,1.00,Kill points for Hard Support role,false
SenSimil,Hard Support,Kępski Kryształ,QYBH3H6V9svJ6ZBTiujb,8428433681,Jakiro,Deaths,9,-1,-9.00,Death penalty for Hard Support role,false
SenSimil,Hard Support,Kępski Kryształ,QYBH3H6V9svJ6ZBTiujb,8428433681,Jakiro,Assists,5,3,15.00,Assist bonus for Hard Support role,false
SenSimil,Hard Support,Kępski Kryształ,QYBH3H6V9svJ6ZBTiujb,8428433681,Jakiro,Observer Wards,7,2,14.00,Observer ward placement bonus,false
SenSimil,Hard Support,Kępski Kryształ,QYBH3H6V9svJ6ZBTiujb,8428433681,Jakiro,Sentry Wards,10,1.8,18.00,Sentry ward placement bonus,false
SenSimil,Hard Support,Kępski Kryształ,QYBH3H6V9svJ6ZBTiujb,8428433681,Jakiro,Tower Damage,207,,0.21,"Tower damage contribution (1 pt per 1000 damage, max 15 pts)",false
SenSimil,Hard Support,Kępski Kryształ,QYBH3H6V9svJ6ZBTiujb,8428433681,Jakiro,First Blood,1,,10.00,First blood bonus,false
SenSimil,Hard Support,Kępski Kryształ,QYBH3H6V9svJ6ZBTiujb,8428504518,Tusk,Kills,9,1,9.00,Kill points for Hard Support role,false
SenSimil,Hard Support,Kępski Kryształ,QYBH3H6V9svJ6ZBTiujb,8428504518,Tusk,Deaths,11,-1,-11.00,Death penalty for Hard Support role,false
SenSimil,Hard Support,Kępski Kryształ,QYBH3H6V9svJ6ZBTiujb,8428504518,Tusk,Assists,32,3,60.00,Assist bonus for Hard Support role (capped),true
SenSimil,Hard Support,Kępski Kryształ,QYBH3H6V9svJ6ZBTiujb,8428504518,Tusk,Observer Wards,9,2,18.00,Observer ward placement bonus,false
SenSimil,Hard Support,Kępski Kryształ,QYBH3H6V9svJ6ZBTiujb,8428504518,Tusk,Sentry Wards,20,1.8,36.00,Sentry ward placement bonus,false
SenSimil,Hard Support,Kępski Kryształ,QYBH3H6V9svJ6ZBTiujb,8428504518,Tusk,Tower Damage,1360,,1.36,"Tower damage contribution (1 pt per 1000 damage, max 15 pts)",false
SenSimil,Hard Support,Kępski Kryształ,qI7VXf0guiGVmK4TYnNb,8429515972,Vengeful Spirit,Kills,3,1,3.00,Kill points for Hard Support role,false
SenSimil,Hard Support,Kępski Kryształ,qI7VXf0guiGVmK4TYnNb,8429515972,Vengeful Spirit,Deaths,7,-1,-7.00,Death penalty for Hard Support role,false
SenSimil,Hard Support,Kępski Kryształ,qI7VXf0guiGVmK4TYnNb,8429515972,Vengeful Spirit,Assists,29,3,60.00,Assist bonus for Hard Support role (capped),true
SenSimil,Hard Support,Kępski Kryształ,qI7VXf0guiGVmK4TYnNb,8429515972,Vengeful Spirit,Observer Wards,9,2,18.00,Observer ward placement bonus,false
SenSimil,Hard Support,Kępski Kryształ,qI7VXf0guiGVmK4TYnNb,8429515972,Vengeful Spirit,Sentry Wards,17,1.8,30.60,Sentry ward placement bonus,false
SenSimil,Hard Support,Kępski Kryształ,qI7VXf0guiGVmK4TYnNb,8429515972,Vengeful Spirit,Hero Healing,195,0.01,1.95,Hero healing bonus (1 pt per 100 healing),false
SenSimil,Hard Support,Kępski Kryształ,qI7VXf0guiGVmK4TYnNb,8429515972,Vengeful Spirit,Tower Damage,1653,,1.65,"Tower damage contribution (1 pt per 1000 damage, max 15 pts)",false
SenSimil,Hard Support,Kępski Kryształ,qI7VXf0guiGVmK4TYnNb,8429622448,Dazzle,Kills,2,1,2.00,Kill points for Hard Support role,false
SenSimil,Hard Support,Kępski Kryształ,qI7VXf0guiGVmK4TYnNb,8429622448,Dazzle,Deaths,1,-1,-1.00,Death penalty for Hard Support role,false
SenSimil,Hard Support,Kępski Kryształ,qI7VXf0guiGVmK4TYnNb,8429622448,Dazzle,Assists,16,3,48.00,Assist bonus for Hard Support role,false
SenSimil,Hard Support,Kępski Kryształ,qI7VXf0guiGVmK4TYnNb,8429622448,Dazzle,Observer Wards,5,2,10.00,Observer ward placement bonus,false
SenSimil,Hard Support,Kępski Kryształ,qI7VXf0guiGVmK4TYnNb,8429622448,Dazzle,Sentry Wards,10,1.8,18.00,Sentry ward placement bonus,false
SenSimil,Hard Support,Kępski Kryształ,qI7VXf0guiGVmK4TYnNb,8429622448,Dazzle,Hero Healing,8827,0.01,88.27,Hero healing bonus (1 pt per 100 healing),false
SenSimil,Hard Support,Kępski Kryształ,qI7VXf0guiGVmK4TYnNb,8429622448,Dazzle,Tower Damage,708,,0.71,"Tower damage contribution (1 pt per 1000 damage, max 15 pts)",false
TOFI,Hard Support,Tomek i Przyjaciele,0Q1zNJl50nhaAU2aN3cJ,8421512161,Dazzle,Kills,1,1,1.00,Kill points for Hard Support role,false
TOFI,Hard Support,Tomek i Przyjaciele,0Q1zNJl50nhaAU2aN3cJ,8421512161,Dazzle,Deaths,7,-1,-7.00,Death penalty for Hard Support role,false
TOFI,Hard Support,Tomek i Przyjaciele,0Q1zNJl50nhaAU2aN3cJ,8421512161,Dazzle,Assists,21,3,60.00,Assist bonus for Hard Support role (capped),true
TOFI,Hard Support,Tomek i Przyjaciele,0Q1zNJl50nhaAU2aN3cJ,8421512161,Dazzle,Observer Wards,5,2,10.00,Observer ward placement bonus,false
TOFI,Hard Support,Tomek i Przyjaciele,0Q1zNJl50nhaAU2aN3cJ,8421512161,Dazzle,Sentry Wards,16,1.8,28.80,Sentry ward placement bonus,false
TOFI,Hard Support,Tomek i Przyjaciele,0Q1zNJl50nhaAU2aN3cJ,8421512161,Dazzle,Hero Healing,7957,0.01,79.57,Hero healing bonus (1 pt per 100 healing),false
TOFI,Hard Support,Tomek i Przyjaciele,0Q1zNJl50nhaAU2aN3cJ,8421512161,Dazzle,Tower Damage,162,,0.16,"Tower damage contribution (1 pt per 1000 damage, max 15 pts)",false
TOFI,Hard Support,Tomek i Przyjaciele,0Q1zNJl50nhaAU2aN3cJ,8421585719,Silencer,Kills,3,1,3.00,Kill points for Hard Support role,false
TOFI,Hard Support,Tomek i Przyjaciele,0Q1zNJl50nhaAU2aN3cJ,8421585719,Silencer,Deaths,7,-1,-7.00,Death penalty for Hard Support role,false
TOFI,Hard Support,Tomek i Przyjaciele,0Q1zNJl50nhaAU2aN3cJ,8421585719,Silencer,Assists,16,3,48.00,Assist bonus for Hard Support role,false
TOFI,Hard Support,Tomek i Przyjaciele,GjEqnxXjgov0xsBCJUi4,8424355820,Pugna,Kills,10,1,10.00,Kill points for Hard Support role,false
TOFI,Hard Support,Tomek i Przyjaciele,GjEqnxXjgov0xsBCJUi4,8424355820,Pugna,Deaths,10,-1,-10.00,Death penalty for Hard Support role,false
TOFI,Hard Support,Tomek i Przyjaciele,GjEqnxXjgov0xsBCJUi4,8424355820,Pugna,Assists,23,3,60.00,Assist bonus for Hard Support role (capped),true
TOFI,Hard Support,Tomek i Przyjaciele,GjEqnxXjgov0xsBCJUi4,8424355820,Pugna,Observer Wards,15,2,30.00,Observer ward placement bonus,false
TOFI,Hard Support,Tomek i Przyjaciele,GjEqnxXjgov0xsBCJUi4,8424355820,Pugna,Sentry Wards,29,1.8,52.20,Sentry ward placement bonus,false
TOFI,Hard Support,Tomek i Przyjaciele,GjEqnxXjgov0xsBCJUi4,8424355820,Pugna,Hero Healing,4353,0.01,43.53,Hero healing bonus (1 pt per 100 healing),false
TOFI,Hard Support,Tomek i Przyjaciele,GjEqnxXjgov0xsBCJUi4,8424355820,Pugna,Tower Damage,4968,,4.97,"Tower damage contribution (1 pt per 1000 damage, max 15 pts)",false
TOFI,Hard Support,Tomek i Przyjaciele,GjEqnxXjgov0xsBCJUi4,8424355820,Pugna,First Blood,1,,10.00,First blood bonus,false
