Team Name,Team Tag,Total Games,Total Fantasy Points,Average Points Per Game,Player Count
Jest Letko,JL,20,1997.21,99.86,5
Kępski Kryształ,KK,16,1544.45,96.53,4
CINCO PERROS,psy,20,1779.19,88.96,5
Doink and Destroy,DONK,20,1732.09,86.60,5
Tomek i Przyjaciele,4FUN,30,2544.13,84.80,5
Ja w sprawie pumy,PUMY,25,2119.24,84.77,5
divine 640x480,TOS,30,2230.52,74.35,5
Chief Industries,2136,10,726.70,72.67,5
Obrona Częstochowy,OC,20,1356.79,67.84,5
Meld z Zaskoczenia,MELD,26,1711.73,65.84,5
Na Pałę Gaming,NPG,25,1585.61,63.42,5
Psychiatryk,PSY,20,1250.35,62.52,5
Bubliny Team,BUB,15,928.41,61.89,5
Frankfurt Beast Awakened,FBA,10,599.92,59.99,5
Skorupiaki ,SKR,5,268.86,53.77,5
Tango Buraczane,TAB,20,959.53,47.98,5
Klałn Fiesta,KF,10,470.68,47.07,5
gwiazda,STAR,4,180.57,45.14,4
Pora na Przygode,PnP,5,195.84,39.17,5
Luter Disciples,LTR,26,958.38,36.86,5
Sparta Sklejka Orzechowo,SPO,20,687.94,34.40,5
drPingwin,drP,28,952.29,34.01,5
Dicaprio,Dic,5,145.51,29.10,5
Greatest Dota Team,GDT,20,540.99,27.05,5
winagrdium leviosaaa,wls,8,208.93,26.12,4
Dota Gooners,GOON,10,60.23,6.02,5
